ds,yhat
2011-03-31,30330.906414692283
2011-04-01,18926.270803730567
2011-04-03,10063.547384449092
2011-04-04,21403.463646988253
2011-04-05,24694.121717790902
2011-04-06,23499.95550100757
2011-04-07,30515.21279827705
2011-04-08,19110.592896078808
2011-04-10,10247.900894246954
2011-04-11,21587.832865462937
2011-04-12,24878.490936420592
2011-04-13,23684.324719541288
2011-04-14,30699.582016836062
2011-04-15,19294.96211464442
2011-04-17,10432.28751363896
2011-04-18,21772.22818531824
2011-04-19,25062.89495660649
2011-04-20,23868.737440174897
2011-04-21,30884.003437871783
2011-04-26,25247.325078039416
2011-04-27,24053.167561712296
2011-04-28,31068.43355937064
2011-05-01,10801.14775662275
2011-05-03,25431.7551995471
2011-05-04,24237.60317376444
2011-05-05,31252.874662142236
2011-05-06,19848.268950983467
2011-05-08,10985.60533127529
2011-05-09,22325.551493554372
2011-05-10,25616.22375544752
2011-05-11,24422.071729750387
2011-05-12,31437.343218095688
2011-05-13,20032.737506937123
2011-05-15,11170.073930947909
2011-05-16,22510.02011502747
2011-05-17,25800.692398854237
2011-05-18,24606.54039497062
2011-05-19,31621.811905121285
2011-05-20,20217.206215798287
2011-05-22,11354.542639779089
2011-05-23,22694.488823869764
2011-05-24,25985.16110766128
2011-05-25,24791.009103818305
2011-05-26,31806.315602430346
2011-05-27,20401.74490153162
2011-05-29,11539.151302368218
2011-05-31,26169.83974715956
2011-06-01,24975.72273177633
2011-06-02,31991.029230313587
2011-06-03,20586.458529438944
2011-06-05,11723.86493033525
2011-06-06,23063.84610286774
2011-06-07,26354.55337509391
2011-06-08,25160.45789348437
2011-06-09,32175.785926011737
2011-06-10,20771.23675896786
2011-06-12,11908.686227546965
2011-06-13,23248.688934023205
2011-06-14,26539.417740074536
2011-06-15,25345.322258455883
2011-06-16,32360.650290954145
2011-06-17,20956.101123940753
2011-06-19,12093.550592573174
2011-06-20,23445.059810336505
2011-06-21,26747.29512783208
2011-06-22,25564.706157654084
2011-06-23,32591.540701548285
2011-06-24,21198.49804599672
2011-06-26,12358.960537406601
2011-06-27,23710.469755248094
2011-06-28,27012.70507271613
2011-06-29,25830.11610256181
2011-06-30,32878.202234807686
2011-07-01,21506.411167520822
2011-07-03,12709.376835645864
2011-07-04,24082.13764187343
2011-07-05,27405.62454759483
2011-07-06,26244.287165817044
2011-07-07,33292.37329803987
2011-07-08,21920.582230801905
2011-07-10,13123.547898878543
2011-07-11,24496.308705063562
2011-07-12,27845.812173638373
2011-07-13,26710.491354488822
2011-07-14,33784.594049448235
2011-07-15,22438.81954492817
2011-07-17,13693.818338427474
2011-07-18,25092.595707353492
2011-07-19,28442.099175887844
2011-07-20,27306.778356717077
2011-07-21,34380.881051659504
2011-07-22,23035.106547145115
2011-07-24,14335.82748544653
2011-07-25,25757.46592674844
2011-07-26,29129.83046769515
2011-07-27,28017.37072094034
2011-07-28,35114.33448822958
2011-07-29,23791.42105610248
2011-07-31,15092.14199439674
2011-08-01,26513.780435741966
2011-08-02,29886.144976586387
2011-08-03,28790.20012965971
2011-08-04,35903.67879687733
2011-08-05,24597.280264565314
2011-08-07,15931.031002552218
2011-08-08,27369.184343740228
2011-08-09,30758.063784407594
2011-08-10,29662.11893756644
2011-08-11,36775.597604751565
2011-08-12,25469.19907243975
2011-08-14,16802.949810454324
2011-08-15,28249.051187392422
2011-08-16,31645.878664077107
2011-08-17,30557.881853002295
2011-08-18,37679.30855603186
2011-08-19,26380.858059613696
2011-08-21,17730.50486932289
2011-08-22,29176.6062462855
2011-08-23,32573.43372292154
2011-08-24,31485.436911951212
2011-08-25,38606.86361498452
2011-08-26,27308.55461381425
2011-08-28,18658.48441413227
2011-08-30,33501.69625835068
2011-08-31,32413.840942706018
2011-09-01,39535.40914096566
2011-09-02,28237.100139826736
2011-09-04,19587.0299401284
2011-09-05,31033.272812433814
2011-09-06,34430.24178438382
2011-09-07,33342.38646864723
2011-09-08,40463.954696274144
2011-09-09,29165.645724336755
2011-09-11,20515.57558316523
2011-09-12,31961.81848470826
2011-09-13,35358.78748587349
2011-09-14,34270.93219940939
2011-09-15,41392.50042695546
2011-09-16,30094.191455048553
2011-09-18,21444.12131388188
2011-09-19,32890.364215357775
2011-09-20,36287.333216551655
2011-09-21,35199.47793013844
2011-09-22,42321.04615772006
2011-09-23,31022.73718583001
2011-09-25,22372.667044683905
2011-09-26,33818.90994618949
2011-09-27,37215.87894735584
2011-09-28,36128.02366091456
2011-09-29,43249.591888515424
2011-09-30,31951.28293195433
2011-10-02,23301.2128215342
2011-10-03,34747.455738429875
2011-10-04,38144.42475492607
2011-10-05,37056.56948388414
2011-10-06,44178.13772686897
2011-10-07,32879.82877031535
2011-10-09,24229.758659846822
2011-10-10,35676.00157676699
2011-10-11,39072.97059333825
2011-10-12,37985.11532221326
2011-10-13,45106.6835651811
2011-10-14,33808.37460865795
2011-10-16,25158.3044982079
2011-10-17,36604.547415090725
2011-10-18,40001.51643163963
2011-10-19,38913.66116054238
2011-10-20,46035.22940349322
2011-10-21,34736.92044700055
2011-10-23,26086.85033655535
2011-10-24,37533.09325348149
2011-10-25,40930.06227005182
2011-10-26,39842.2069989293
2011-10-27,46963.775241846764
2011-10-28,35665.466285336755
2011-10-30,27015.396174902802
2011-10-31,38461.639091872275
2011-11-01,41858.608108340304
2011-11-02,40770.75283720667
2011-11-03,47892.321080201174
2011-11-04,36594.01212369777
2011-11-06,27943.942013215426
2011-11-07,39390.18493019601
2011-11-08,42787.15394670354
2011-11-09,41699.29867559358
2011-11-10,48820.866918555585
2011-11-11,37522.55796201556
2011-11-13,28872.487851611342
2011-11-14,40318.730768533125
2011-11-15,43715.699785066776
2011-11-16,42627.8445139227
2011-11-17,49749.41275686771
2011-11-18,38451.10380037018
2011-11-20,29801.033689923963
2011-11-21,41247.27660687025
2011-11-22,44644.24562343002
2011-11-23,43556.39035231566
2011-11-24,50677.95859526355
2011-11-25,39379.649638694376
2011-11-27,30729.57952827141
2011-11-28,42175.82244518059
2011-11-29,45572.7914617185
2011-11-30,44484.93619064478
2011-12-01,51606.50443357567
2011-12-02,40308.19547705539
2011-12-04,31658.125366597662
2011-12-05,43104.36828351771
2011-12-06,46501.33730014359
2011-12-07,45413.4820289739
2011-12-08,52535.050271971515
2011-12-09,41236.74131541002
2011-12-10,56479.42296107153
2011-12-11,32586.67120494511
2011-12-12,44032.914121908485
2011-12-13,47429.88313844498
2011-12-14,46342.02786730302
2011-12-15,53463.59611028277
2011-12-16,42165.28715375262
2011-12-17,57407.968799399765
2011-12-18,33515.21704329256
2011-12-19,44961.459960191954
2011-12-20,48358.42897673346
2011-12-21,47270.573705695984
2011-12-22,54392.14194863719
2011-12-23,43093.83299211363
2011-12-24,58336.51463774624
2011-12-25,34443.76288170211
2011-12-26,45890.005798569335
2011-12-27,49286.9748150967
2011-12-28,48199.1195439673
2011-12-29,55320.6877869916
2011-12-30,44022.378830437825
2011-12-31,59265.060476106584
2012-01-01,35372.30872001472
2012-01-02,46818.55163690645
2012-01-03,50215.520653398096
2012-01-04,49127.66538235422
2012-01-05,56249.23362534516
2012-01-06,44950.92466879245
2012-01-07,60193.606314443954
2012-01-08,36300.85455836218
